unique_row,study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r,d,d_var,corr,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,special_cases_measures,x_dif,SD_dif,contrast_sampa,audio_condition,speaker,speech_type,object_stimulus,cue_type,N_AFC,mean_comprehension_vocab,mean_production_vocab,pointing_modality,motive,correlation_type,condition_type,stimulus_naturalness,contrast_pseudoIPA,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,F1_1,F2_1,F1_2,F2_2,duration_word_1,duration_word_2,duration_vowel_1,duration_vowel_2,peripherality,Linguistic,words_to_passage,edge_alignment,familiarization_voice,familiarization_register,familiarization_affect,test_voice,test_register,indexical,rule.type,repetitions,types,tokens,expt_condition2,word_round,word_spiky,multiple_age_groups_younger_older,replication,native,label_present,instruction_code,taxonomic_type,tokens_per_trial,word_types_per_cond,publication_type,main_or_baseline_study,Modality,Semantics,TrainingRule,Speech,Nonspeech,CorrectPronunciation,Mispronunciation,is_correct,n_feature,type_feature,mispron_location,scenarios,Hamlin_Lab,stimuli_type,minimal_pairs,cues_present,word_typicality,ME_trial_type,preceding,task_difficulty,median_production_vocab,sentence_structure,agent_argument_type,patient_argument_type,stimuli_modality,stimuli_actor,transitive_event,intransitive_event,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,learning_domain,live_video,task,rhythm_class,speech_manip,percentV,deltaC,deltaV,VarcoV,nPVI_V,rPVI_C,corr_imputed,dataset,short_name,domain,d_calc,d_var_calc,g_calc,g_var_calc,r_calc,r_var_calc,z_calc,z_var_calc,log_odds_calc,log_odds_var_calc,es_method,mean_age,n,same_infant_calc,all_mod,mean_age_months,year
52,jusczyk1987,"Jusczyk, P. W., & Derrah, C. (1987). Representation of Speech Sounds by Young Infants. Developmental Psychology, 23(5), 648-654.",Jusczyk & Derrah  (1987),yes,Alex Cristia,1,bu_group,12,behavior,habituation,high-amplitude sucking,sucking_time,between,American English,typical,experimental,control,16,16,60.2,60.2,5.78,-12.03,10.74,12.08,NA,NA,NA,NA,NA,NA,native,NA,NA,44.1,44.1,18.625,18.625,NA,NA,NA,NA,NA,NA,"[bi, bo, b@r, bA] to [bi, bo, b@r, bA, bu, bu, bu, bu] (randomized)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,"[bi, bo, ber, ba] to [bi, bo, ber, ba, bu, bu, bu, bu] (randomized)",not_looked_up,0,NA,NA,NA,NA,NA,NA,NA,NA,317,966,300,300,300,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,Vowel discrimination (native),inphondb-native,early_language,1.5582273406083607,0.1629386319534282,1.5179283576615927,0.1546197526317869,0.6145970040189843,0.009815258915536881,0.7162755708803248,0.07692307692307693,2.8263117597278207,0.536046613011678,between,60.2,16,jusczyk1987 12,,1.977864021848498,1987
53,jusczyk1987,"Jusczyk, P. W., & Derrah, C. (1987). Representation of Speech Sounds by Young Infants. Developmental Psychology, 23(5), 648-654.",Jusczyk & Derrah  (1987),yes,Alex Cristia,1,du_group,13,behavior,habituation,high-amplitude sucking,sucking_time,between,American English,typical,experimental,control,16,16,60.2,60.2,10.55,-12.03,11.68,12.08,NA,NA,NA,NA,NA,NA,native,NA,NA,44.1,44.1,18.625,18.625,NA,NA,NA,NA,NA,NA,"[bi, bo, b@r, bA] to [bi, bo, b@r, bA, bu, bu, bu, bu] (randomized)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,"[bi, bo, ber, ba] to [bi, bo, ber, ba, du, du, du, du] (randomized)",not_looked_up,0,NA,NA,NA,NA,NA,NA,NA,NA,317,1100,300,300,300,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,Vowel discrimination (native),inphondb-native,early_language,1.9004041155830786,0.18143024691445475,1.8512557332835162,0.17216727280400362,0.6888264498862531,0.006582832289209642,0.8457191814341409,0.07692307692307693,3.4469517766326794,0.5968815878125439,between,60.2,16,jusczyk1987 13,,1.977864021848498,1987
59,kuhl1979,"Kuhl, P K. (1979). Speech perception in early infancy: perceptual constancy for spectrally dissimilar vowel categories. The Journal of the Acoustical Society of America, 66(6), 1668–1679.",Kuhl (1979),yes,Sho Tsuji,2,NA,190,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,American English,typical,NA,NA,8,NA,183,NA,79.2,50,11.3,NA,7.2,NA,NA,NA,NA,NA,native,NA,NA,30.42,NA,2,NA,NA,NA,NA,NA,NA,NA,A-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,not_looked_up,1,0,2,0,0,0,0,730,1090,270,2290,NA,NA,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1571412338,Vowel discrimination (native),inphondb-native,early_language,2.584070796460177,0.5423388675698959,2.2610619469026547,0.41522819548320156,0.7908082777388193,0.007128390857392976,1.0735855929293237,0.2,4.686985967755678,1.784223358083221,group_means_one,183,8,kuhl1979 190,,6.012443787346762,1979
61,kuhl1982,"Kuhl, P.K., & Miller, J.D. (1982). Discrimination of auditory target dimensions in the presence or absence of variation in a second dimension by infants. Perception & Psychophysics 31(3), 279-292.",Kuhl & Miller (1982),yes,Sho Tsuji,1,with_variation,11,behavior,habituation,high-amplitude sucking,sucking_time,between,American English,typical,experimental,control,8,8,78.4,78.4,0.15,-0.08,NA,NA,2.88,NA,NA,NA,NA,NA,native,NA,NA,77,77,2.15,2.15,NA,NA,NA,NA,NA,NA,A-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i_,"their vowel doesn't correspond to any of the formants given in P&B52, contra their statementâ€¦ but the closest might indeed be A",1,0,2,0,0,0,0,775,1064,263,2378,500,500,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8057339447,Vowel discrimination (native),inphondb-native,early_language,1.44,0.31479999999999997,1.356923076923077,0.2795247041420118,0.5843047258450759,0.022481026994771756,0.6689742267542798,0.2,2.611871084497274,1.0356504884876432,between,78.4,8,kuhl1982 11,,2.575822912174788,1982
70,liu2016,"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Liu & Kager (2016),yes,Sho Tsuji,1,NA,174,eye-tracking,test_only,central fixation,looking_time,within_two,Dutch,typical,NA,NA,50,NA,176.7,NA,NA,NA,3.280529734,3.563228081,NA,NA,NA,NA,NA,0.389002466,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50648,NA,i-I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,i-I,not_looked_up,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389002466,Vowel discrimination (native),inphondb-native,early_language,-0.14788613524548516,0.02465860444997846,-0.14557541438227445,0.02389404322801868,-0.0737417480780988,0.006064629731178496,-0.07387585129908603,0.02127659574468085,-0.2682357780873165,0.08112355700140968,subj_diff_two,176.7,50,liu2016 174,,5.805458017618431,2016
71,liu2016,"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Liu & Kager (2016),yes,Sho Tsuji,1,NA,175,eye-tracking,test_only,central fixation,looking_time,within_two,Dutch,typical,NA,NA,50,NA,269.88,NA,NA,NA,2.955039636,4.031636311,NA,NA,NA,NA,NA,0.3731563714,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22244,NA,i-I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,i-I,not_looked_up,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3731563714,Vowel discrimination (native),inphondb-native,early_language,0.06293271519141787,0.025113350410413644,0.06194939151655196,0.02433468939915326,0.03145079123586934,0.006259725329459763,0.03146116726849298,0.02127659574468085,0.11414731880372683,0.08261961124557259,subj_diff_two,269.88,50,liu2016 175,,8.866876116552701,2016
72,liu2016,"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Liu & Kager (2016),yes,Sho Tsuji,1,NA,176,eye-tracking,test_only,central fixation,looking_time,within_two,Dutch,typical,NA,NA,50,NA,348,NA,NA,NA,1.958319803,3.897504614,NA,NA,NA,NA,NA,0.557918903,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62484,NA,i-I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,i-I,not_looked_up,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557918903,Vowel discrimination (native),inphondb-native,early_language,0.5268134939898347,0.020458568454497773,0.5185820331462435,0.019824232957983804,0.2547183505781946,0.004182300977603086,0.26045210233937566,0.02127659574468085,0.955533980468769,0.06730599241949971,subj_diff_two,348,50,liu2016 176,,11.433499661184008,2016
73,liu2016,"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Liu & Kager (2016),yes,Sho Tsuji,1,NA,177,eye-tracking,test_only,central fixation,looking_time,within_two,Dutch,typical,NA,NA,50,NA,443.48,NA,NA,NA,3.24321024,5.848364895,NA,NA,NA,NA,NA,0.5708368185,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1063,NA,i-I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,i-I,not_looked_up,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5708368185,Vowel discrimination (native),inphondb-native,early_language,0.4454261016570874,0.019150571380374296,0.4384663188186954,0.01855679145720351,0.21738697933551185,0.004140463014683413,0.2209118365973443,0.02127659574468085,0.8079135799989513,0.06300285452637268,subj_diff_two,443.48,50,liu2016 177,,14.57048399351116,2016
74,liu2016,"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Liu & Kager (2016),yes,Sho Tsuji,1,NA,178,eye-tracking,test_only,central fixation,looking_time,within_two,"Dutch, one other",bilingual,NA,NA,30,NA,173.7,NA,NA,NA,3.618491957,5.489815215,NA,NA,NA,NA,NA,0.6309368123,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04185,NA,i-I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,i-I,not_looked_up,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6309368123,Vowel discrimination (native),inphondb-native,early_language,-0.009001399375452353,0.024605562933178608,-0.00876029046360988,0.02330506163975566,-0.0045006541046623645,0.006151016935232784,-0.004500684493279239,0.037037037037037035,-0.016326732464413764,0.08094905740552692,subj_diff_two,173.7,30,liu2016 178,,5.706893365366845,2016
75,liu2016,"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Liu & Kager (2016),yes,Sho Tsuji,1,NA,179,eye-tracking,test_only,central fixation,looking_time,within_two,"Dutch, one other",bilingual,NA,NA,30,NA,266.0333333,NA,NA,NA,3.857811336,5.232578416,NA,NA,NA,NA,NA,0.4959119943,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.463766667,NA,i-I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,i-I,not_looked_up,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4959119943,Vowel discrimination (native),inphondb-native,early_language,0.31842621999959864,0.03529578800638721,0.3098969462496094,0.03343026604782258,0.1572327495159247,0.008185552347873767,0.15854802508601717,0.037037037037037035,0.5775612753907772,0.11611848821591873,subj_diff_two,266.0333333,30,liu2016 179,,8.740494328014949,2016
76,liu2016,"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Liu & Kager (2016),yes,Sho Tsuji,1,NA,180,eye-tracking,test_only,central fixation,looking_time,within_two,"Dutch, one other",bilingual,NA,NA,30,NA,355.6666667,NA,NA,NA,3.685214311,4.115987884,NA,NA,NA,NA,NA,0.4433757494,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3875,NA,i-I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,i-I,not_looked_up,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4433757494,Vowel discrimination (native),inphondb-native,early_language,0.35517333380328203,0.03921075165741563,0.3456597623621227,0.03713830838980828,0.17485092972009575,0.008930807225108195,0.17666624447305881,0.037037037037037035,0.6442131670453406,0.12899820237601706,subj_diff_two,355.6666667,30,liu2016 180,,11.685387106922114,2016
77,liu2016,"Liu, L. & Kager, R. (2016). Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead. International Journal of Bilingualismk, 20 (3), 335-345.",Liu & Kager (2016),yes,Sho Tsuji,1,NA,181,eye-tracking,test_only,central fixation,looking_time,within_two,"Dutch, one other",bilingual,NA,NA,30,NA,444.6,NA,NA,NA,1.867850567,3.272682242,NA,NA,NA,NA,NA,0.1448314569,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.814316667,NA,i-I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,i-I,not_looked_up,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1448314569,Vowel discrimination (native),inphondb-native,early_language,0.6809173405013088,0.06473870994992292,0.6626784831664523,0.06131701314692556,0.32229190984005146,0.011647000182265633,0.3342025777766595,0.037037037037037035,1.2350474392973285,0.2129818188808689,subj_diff_two,444.6,30,liu2016 181,,14.607281463685087,2016
78,marean1992,"Marean, G., Werner, L., & Kuhl, P. (1992). Vowel categorization by very young infants. Developmental Psychology, 28(3), 396-405.","Marean, Werner, & Kuhl (1992)",yes,Alex Cristia,1,2mo,84,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,American English,typical,NA,NA,10,NA,60.84,NA,80,50,41.42583735,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,A-i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i,not_looked_up,0,0,2,0,0,0,0,775,1064,263,2378,500,500,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,Vowel discrimination (native),inphondb-native,early_language,0.7241857236713164,0.1262222481184674,0.6562933120771305,0.10366495182385849,0.3404609481215147,0.02180519449967744,0.35461382007626624,0.14285714285714285,1.3135276051825306,0.415254551848473,group_means_one,60.84000000000001,10,marean1992 84,,1.99889114766217,1992
79,marean1992,"Marean, G., Werner, L., & Kuhl, P. (1992). Vowel categorization by very young infants. Developmental Psychology, 28(3), 396-405.","Marean, Werner, & Kuhl (1992)",yes,Alex Cristia,1,3mo,85,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,American English,typical,NA,NA,10,NA,91.26,NA,90,50,31.6227766,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,A-i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i,not_looked_up,0,0,2,0,0,0,0,775,1064,263,2378,500,500,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6575968788,Vowel discrimination (native),inphondb-native,early_language,1.2649110641347034,0.1800000000085194,1.146325651872075,0.1478320312569969,0.5345224838451783,0.01639941690890025,0.5964553655249859,0.14285714285714285,2.294294883940353,0.5921762640933892,group_means_one,91.26,10,marean1992 85,,2.9983367214932546,1992
80,marean1992,"Marean, G., Werner, L., & Kuhl, P. (1992). Vowel categorization by very young infants. Developmental Psychology, 28(3), 396-405.","Marean, Werner, & Kuhl (1992)",yes,Alex Cristia,1,6mo_measure,86,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,American English,typical,NA,NA,10,NA,182.52,NA,100,50,17.89265914,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,A-i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,a-i,not_looked_up,0,0,2,0,0,0,0,775,1064,263,2378,500,500,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127906149,Vowel discrimination (native),inphondb-native,early_language,2.7944421010190887,0.490445332797399,2.5324631540485494,0.40279738758067635,0.8131867073655241,0.004765204240011234,1.1363657525136717,0.14285714285714285,5.068557306217755,1.6135004716903145,group_means_one,182.52,10,marean1992 86,,5.996673442986509,1992
81,miller1979,"Miller, J. L., & Eimas, P. D. (1979). Organization in infant speech perception. Canadian journal of psychology, 33(4), 353-367.",Miller & Eimas (1979),yes,Alex Cristia,1,NA,14,behavior,habituation,high-amplitude sucking,sucking_time,between,American English,typical,experimental,control,12,36,90,90,6.1,0,NA,NA,1.676,NA,NA,NA,NA,NA,native,NA,NA,60,60,19.5,19.5,NA,NA,NA,NA,NA,NA,[ba-da]-[b{-d{]_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,[ba-da]-[bae-dae]_,"Aenglish. the authors say nothing but /a/ everywhere, and based on the Fs I guess that it is indeed a: male voice F1 770 (so ok for both) but F2 1220 -- too forward for A, so it could fit a",1,0,0,0,0,1,0,771,1233,771,1796,300,300,300,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127906149,Vowel discrimination (native),inphondb-native,early_language,0.5586666666666666,0.11436224074074074,0.5493555555555555,0.11058193333847735,0.23512769865705488,0.01807949574728501,0.23961037494765774,0.1111111111111111,1.0133092448188497,0.37623669151108513,between,90,24,miller1979 14,,2.9569395675475882,1979
82,minagawa-kawai2007a,"Minagawa-Kawai, Y., Mori, K., Naoi, N., & Koijima, S. (2007). Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast. The Journal of Neuroscience, 27(2), 315–321.",Minagawa-Kawai et al. (2007),yes,Sho Tsuji,1,NA,161,NIRS,test_only,stimulus alternation,laterality_index,within_one,Japanese,typical,NA,NA,15,NA,106.47,NA,0.07351783932,0,0.2459022822,NA,7.18,NA,NA,NA,NA,NA,native,NA,NA,30.42,NA,8,NA,NA,NA,NA,NA,NA,NA,mama -mama:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,mama -mama:,Japanese,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,184,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4959119943,Vowel discrimination (native),inphondb-native,early_language,0.29897176497209427,0.06964613720835097,0.2817233939160119,0.06184185482146845,0.14784315517002314,0.016294584823739747,0.1489346715331811,0.08333333333333333,0.5422747972303666,0.22912660743680469,group_means_one,106.47,15,minagawa-kawai2007a 161,,3.498059508408797,2007
